id,adult,overview,popularity,release_date,title,vote_average,vote_count,character,actor_name,crew_id,name_genres,keyword_name,tags
20,FALSE,A Pedro Almodovar production in which a fatally ill mother with only two months to live creates a list of things she wants to do before she dies with out telling her family of her illness.,10.310508,3/7/2003,My Life Without Me,7.2,78,Ann,Sarah Polley,90,"Drama, Romance","daughter, dying and death, farewell, mother daughter relationship, night shift, responsability, secret love, woman director","Drama, Romance, daughter, dying and death, farewell, mother daughter relationship, night shift, responsability, secret love, woman director"
22,FALSE,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",47.326665,7/9/2003,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191,Captain Jack Sparrow,Johnny Depp,1704,"Action, Adventure, Fantasy","aftercreditsstinger, alcoholic, blacksmith, capuchin monkey, caribbean, daughter, east india trading company, exotic island, gold, gold coin, governor, jamaica, marriage proposal, mutiny, pirate, pirate ship, skeleton, swashbuckler, tortuga, wooden eye","Action, Adventure, Fantasy, aftercreditsstinger, alcoholic, blacksmith, capuchin monkey, caribbean, daughter, east india trading company, exotic island, gold, gold coin, governor, jamaica, marriage proposal, mutiny, pirate, pirate ship, skeleton, swashbuckler, tortuga, wooden eye"
24,FALSE,"An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle â€“ but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.",25.261865,10/10/2003,Kill Bill: Vol. 1,7.7,5091,Beatrix 'The Bride' Kiddo,Uma Thurman,138,"Action, Crime","blood, bride, coma, female yakuza, gore, japan, kung fu, martial arts, part animation, revenge, samurai sword, sword, underworld, wedding, yakuza","Action, Crime, blood, bride, coma, female yakuza, gore, japan, kung fu, martial arts, part animation, revenge, samurai sword, sword, underworld, wedding, yakuza"
25,FALSE,"Jarhead is a film about a US Marine Anthony Swoffordâ€™s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.",9.997032,11/4/2005,Jarhead,6.6,776,Staff Sgt. Sykes,Jamie Foxx,39,"Drama, War","golf war, marine corps, petrol, saudi arabia, sniper, u.s. marine","Drama, War, golf war, marine corps, petrol, saudi arabia, sniper, u.s. marine"
27,FALSE,"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",18.847707,7/16/2004,9 Songs,5.1,103,Matt,Kieran O'Brien,172,"Drama, Music, Romance","blow job, concert, condom, couple, desire, ejaculation, erection, explicit sex, fellatio, female nudity, london england, male orgasm, penetration, penis, pubic hair, rock and roll, safe sex, semen, sex, sexual fantasy, sexual intercourse, unsimulated sex, vulva","Drama, Music, Romance, blow job, concert, condom, couple, desire, ejaculation, erection, explicit sex, fellatio, female nudity, london england, male orgasm, penetration, penis, pubic hair, rock and roll, safe sex, semen, sex, sexual fantasy, sexual intercourse, unsimulated sex, vulva"
28,FALSE,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",13.5963,8/15/1979,Apocalypse Now,8,2112,Captain Benjamin L. Willard,Martin Sheen,1776,"Drama, War","apocalypse, army, cambodia, death, green beret, guerrilla, insanity, jungle, napalm, river, tribe, vietcong, vietnam","Drama, War, apocalypse, army, cambodia, death, green beret, guerrilla, insanity, jungle, napalm, river, tribe, vietcong, vietnam"
33,FALSE,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",10.942149,8/7/1992,Unforgiven,7.7,1133,Bill Munny,Clint Eastwood,190,Western,"bounty, englishman, mutilation, one last job, prostitute, regret, reputation, revenge, right and justice, sheriff","Western, bounty, englishman, mutilation, one last job, prostitute, regret, reputation, revenge, right and justice, sheriff"
35,FALSE,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",14.302911,7/25/2007,The Simpsons Movie,6.9,2335,Homer / Itchy / Barney / Grampa / Stage Manager / Krusty the Clown / Mayor Quimby / Mayor's Aide / Multi-Eyed Squirrel / Panicky Man / Sideshow Mel / Mr. Teeny / EPA Official / Kissing Cop / Bear / Boy on Phone / NSA Worker / Officer / Santa's Little Helper / Squeaky-Voiced Teen,Dan Castellaneta,197,"Animation, Comedy, Family","alaska, alcoholism, donuts, duff beer, duringcreditsstinger, dysfunctional family, dysfunctional marriage, ecology, environmental protection agency, father son relationship, first love, garbage, lake, love, pig, pollution, quarantine, saving lives, springfield, the simpsons","Animation, Comedy, Family, alaska, alcoholism, donuts, duff beer, duringcreditsstinger, dysfunctional family, dysfunctional marriage, ecology, environmental protection agency, father son relationship, first love, garbage, lake, love, pig, pollution, quarantine, saving lives, springfield, the simpsons"
38,FALSE,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",12.906327,3/19/2004,Eternal Sunshine of the Spotless Mind,7.9,3758,Joel Barish,Jim Carrey,201,"Drama, Romance, Science Fiction","amnesia, bittersweet, brainwashing, deja vu, dream, heartbreak, jealousy, love, love story, memory, nonlinear timeline, operation, regret, relationship, relationship problems","Drama, Romance, Science Fiction, amnesia, bittersweet, brainwashing, deja vu, dream, heartbreak, jealousy, love, love story, memory, nonlinear timeline, operation, regret, relationship, relationship problems"
55,FALSE,Three different people in Mexico City are catapulted into dramatic and unforeseen circumstances in the wake of a terrible car crash: a young punk stumbles into the sinister underground world of dog fighting; an injured supermodel's designer pooch disappears into the apartment's floorboards; and an ex-radical turned hit man rescues a gunshot Rotweiler.,5.958138,6/16/2000,Amores perros,7.6,537,Octavio,Gael GarcÃ­a Bernal,223,"Drama, Thriller","daughter, dog, dogfight, homeless person, mexico city, money, multiple storylines, new mexican cinema, nonlinear timeline, secret love","Drama, Thriller, daughter, dog, dogfight, homeless person, mexico city, money, multiple storylines, new mexican cinema, nonlinear timeline, secret love"
58,FALSE,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",29.455314,6/20/2006,Pirates of the Caribbean: Dead Man's Chest,7,5380,Captain Jack Sparrow,Johnny Depp,1704,"Action, Adventure, Fantasy","aftercreditsstinger, bondage, captain, card game, compass, daughter, east india trading company, exotic island, fortune teller, monster, pirate, ship, swashbuckler, witch","Action, Adventure, Fantasy, aftercreditsstinger, bondage, captain, card game, compass, daughter, east india trading company, exotic island, fortune teller, monster, pirate, ship, swashbuckler, witch"
59,FALSE,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,11.119707,9/23/2005,A History of Violence,6.9,850,Tom Stall,Viggo Mortensen,224,"Crime, Drama, Thriller","attempted robbery, diner, distrust, double life, dual identity, family relationships, fight, indiana, lawyer, marriage, mistaken identity, mobster, robbery, self-defense, small town, violence","Crime, Drama, Thriller, attempted robbery, diner, distrust, double life, dual identity, family relationships, fight, indiana, lawyer, marriage, mistaken identity, mobster, robbery, self-defense, small town, violence"
62,FALSE,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",22.494622,4/10/1968,2001: A Space Odyssey,7.9,3075,Dr. Dave Bowman,Keir Dullea,240,"Adventure, Mystery, Science Fiction","artificial intelligence, astronaut, evolution, human being, jupiter, man vs machine, monolith, moon, moon base, space mission, space station, space travel, super computer, technology","Adventure, Mystery, Science Fiction, artificial intelligence, astronaut, evolution, human being, jupiter, man vs machine, monolith, moon, moon base, space mission, space station, space travel, super computer, technology"
63,FALSE,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,12/29/1995,Twelve Monkeys,7.4,2470,James Cole,Bruce Willis,280,"Mystery, Science Fiction, Thriller","cassandra syndrom, dystopia, lethal virus, monkey, philadelphia, post-apocalyptic, schizophrenia, stockholm syndrome, subterranean, time travel","Mystery, Science Fiction, Thriller, cassandra syndrom, dystopia, lethal virus, monkey, philadelphia, post-apocalyptic, schizophrenia, stockholm syndrome, subterranean, time travel"
64,FALSE,Two men share an odd friendship while they care for two women who are both in deep comas.,6.648278,3/14/2002,Talk to Her,7.5,273,Alicia,Leonor Watling,309,"Drama, Romance","bullfight, car crash, coma, dying and death, friendship, hospital, journalist, pregnancy, rape, sexual abuse, spain, suicide, theatre milieu, torera","Drama, Romance, bullfight, car crash, coma, dying and death, friendship, hospital, journalist, pregnancy, rape, sexual abuse, spain, suicide, theatre milieu, torera"
65,FALSE,"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.",8.374355,11/8/2002,8 Mile,6.8,1676,"Jimmy B. ""Rabbit"" Smith",Eminem,323,Drama,"adolescence, detroit, eminem, ethnic stereotype, hip-hop, individual, rap music, rhyme battle, single, street gang, trailer park","Drama, adolescence, detroit, eminem, ethnic stereotype, hip-hop, individual, rap music, rhyme battle, single, street gang, trailer park"
66,FALSE,A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.,7.66124,2/14/1997,Absolute Power,6.4,226,Luther Whitney,Clint Eastwood,190,"Crime, Drama, Thriller","assassination, corruption, daughter, government, rape, secret service, secret service agent, suspense, usa president, washington d.c., white house","Crime, Drama, Thriller, assassination, corruption, daughter, government, rape, secret service, secret service agent, suspense, usa president, washington d.c., white house"
67,FALSE,Paradise Now is filmed from the perspective of two Palestinian men who are preparing to perform a suicide attack in Israel. This is the first film to deal with the subject of suicide bombers.,3.714186,2/14/2005,Paradise Now,6.9,63,Khaled,Ali Suliman,357,"Crime, Drama, Thriller","civil war, friendship, individual, israel, middle east, middle east conflict, muslim, palestine, suicide mission, terror, unemployment","Crime, Drama, Thriller, civil war, friendship, individual, israel, middle east, middle east conflict, muslim, palestine, suicide mission, terror, unemployment"
68,FALSE,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",9.837287,2/20/1985,Brazil,7.6,877,Sam Lowry,Jonathan Pryce,280,"Comedy, Science Fiction","anarchic comedy, bureaucracy, dream, dystopia, government, great britain, police state, terror","Comedy, Science Fiction, anarchic comedy, bureaucracy, dream, dystopia, government, great britain, police state, terror"
69,FALSE,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",11.476443,9/13/2005,Walk the Line,7.3,732,Johnny Cash,Joaquin Phoenix,366,"Drama, Music, Romance","1960s, accident, adultery, concert, country music, germany, guitar, loss of brother, marriage, music record, prison, single","1960s, Drama, Music, Romance, accident, adultery, concert, country music, germany, guitar, loss of brother, marriage, music record, prison, single"
70,FALSE,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",14.471373,12/15/2004,Million Dollar Baby,7.7,2519,Frankie Dunn,Clint Eastwood,190,Drama,"advancement, boxer, boxing trainer, determination, dying and death, female protagonist, sport, stroke of fate, strong woman, suicide attempt, training, transporter","Drama, advancement, boxer, boxing trainer, determination, dying and death, female protagonist, sport, stroke of fate, strong woman, suicide attempt, training, transporter"
71,FALSE,"Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!",12.158424,5/18/2000,Billy Elliot,7.4,774,Billy Elliot,Jamie Bell,468,"Comedy, Drama, Music","ballet, dancing class, northern england, scholarship, strike, workers' quarter","Comedy, Drama, Music, ballet, dancing class, northern england, scholarship, strike, workers' quarter"
73,FALSE,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",18.157166,10/30/1998,American History X,8.2,3120,Derek Vinyard,Edward Norton,814,Drama,"basketball, brother, brother brother relationship, family, fascism, hate, interracial friendship, jail, los angeles, nazism, neo nazism, neo-nazi, prison, prison rape, rape, school, skinhead, swastika, usa, xenophobia","Drama, basketball, brother, brother brother relationship, family, fascism, hate, interracial friendship, jail, los angeles, nazism, neo nazism, neo-nazi, prison, prison rape, rape, school, skinhead, swastika, usa, xenophobia"
74,FALSE,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",19.929377,6/28/2005,War of the Worlds,6.2,2397,Ray Ferrier,Tom Cruise,488,"Adventure, Science Fiction, Thriller","airplane, alien invasion, apocalypse, daughter, dystopia, human subjugation, new jersey, post traumatic stress  disorder","Adventure, Science Fiction, Thriller, airplane, alien invasion, apocalypse, daughter, dystopia, human subjugation, new jersey, post traumatic stress  disorder"
75,FALSE,"'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alienâ€™s fun and games in this comedy homage to science fiction films of the '50s and '60s.",15.63424,12/12/1996,Mars Attacks!,6.1,1544,President James Dale / Art Land,Jack Nicholson,510,"Comedy, Fantasy, Science Fiction","ambassador, cataclysm, congress, flying saucer, lasergun, mars, pest, saving the world, total destruction, usa president, white house","Comedy, Fantasy, Science Fiction, ambassador, cataclysm, congress, flying saucer, lasergun, mars, pest, saving the world, total destruction, usa president, white house"
76,FALSE,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",11.304979,1/27/1995,Before Sunrise,7.7,984,Jesse,Ethan Hawke,564,"Drama, Romance","austria, bittersweet, danube, dialogue, romantic, soulmates, sunrise, talking, traveller, vienna, walking","Drama, Romance, austria, bittersweet, danube, dialogue, romantic, soulmates, sunrise, talking, traveller, vienna, walking"
77,FALSE,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",15.450789,10/11/2000,Memento,8.1,4168,Leonard,Guy Pearce,525,"Mystery, Thriller","amnesia, flashback, individual, insulin, insurance salesman, memory loss, motel, neo-noir, polaroid, revenge, tattoo, waitress","Mystery, Thriller, amnesia, flashback, individual, insulin, insurance salesman, memory loss, motel, neo-noir, polaroid, revenge, tattoo, waitress"
78,FALSE,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",96.272374,6/25/1982,Blade Runner,7.9,3833,Rick Deckard,Harrison Ford,578,"Drama, Science Fiction, Thriller","artificial intelligence, bounty hunter, cyberpunk, dystopia, fugitive, futurista, genetics, lluvia, los angeles, neo-noir, tech noir","Drama, Science Fiction, Thriller, artificial intelligence, bounty hunter, cyberpunk, dystopia, fugitive, futurista, genetics, lluvia, los angeles, neo-noir, tech noir"
79,FALSE,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.,9.861765,12/19/2002,Hero,7.3,647,Nameless,Jet Li,607,"Action, Adventure, Drama, History","countryside, loss of lover, patriot, right and justice","Action, Adventure, Drama, History, countryside, loss of lover, patriot, right and justice"
80,FALSE,Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.,7.048957,2/10/2004,Before Sunset,7.6,734,Jesse,Ethan Hawke,564,"Drama, Romance","author, bookshop, dialogue, journalist, love of one's life, paris, soulmates, talking, walking","Drama, Romance, author, bookshop, dialogue, journalist, love of one's life, paris, soulmates, talking, walking"
81,FALSE,"After a global war, the seaside kingdom known as the Valley Of The Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaa, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",11.267366,3/11/1984,NausicaÃ¤ of the Valley of the Wind,7.7,808,NausicaÃ¤,Sumi Shimamoto,608,"Adventure, Animation, Fantasy","airplane, anime, based on manga, duringcreditsstinger, ecology, fungus spores   , future, giant insect, human vs nature, post-apocalyptic, saving the world, toxic, war","Adventure, Animation, Fantasy, airplane, anime, based on manga, duringcreditsstinger, ecology, fungus spores, future, giant insect, human vs nature, post-apocalyptic, saving the world, toxic, war"
82,FALSE,Miami Vice is a feature film based on the 1980s action drama TV series. The film tells the story of vice detectives Crockett and Tubbs and how their personal and professional lives are dangerously getting mixed.,11.72545,7/27/2006,Miami Vice,5.7,494,"Detective Ricardo ""Rico"" Tubbs",Jamie Foxx,638,"Action, Adventure, Crime, Thriller","based on tv series, drug deal, havana cuba, speedboatÂ ","Action, Adventure, Crime, Thriller, based on tv series, drug deal, havana cuba, speedboat"
83,FALSE,"Two divers are left out at sea without a boat. Thereâ€™s nothing but water for miles, unless they look at whatâ€™s underneath them...",10.652818,8/6/2004,Open Water,5.3,320,Susan Watkins,Blanchard Ryan,640,"Drama, Thriller","cataclysm, diving, nightmare, panic, primal fear, red sea, scuba, scuba diving, shark","Drama, Thriller, cataclysm, diving, nightmare, panic, primal fear, red sea, scuba, scuba diving, shark"
85,FALSE,"When Dr. Indiana Jones â€“ the tweed-suited professor who just happens to be a celebrated archaeologist â€“ is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",19.901576,6/12/1981,Raiders of the Lost Ark,7.7,3949,Indy,Harrison Ford,488,"Action, Adventure","archaeologist, archeologyÂ , ark of the covenant, cairo, egypt, excavation, hat, himalaya, indiana jones, leather jacket, medallion, mediterranean, moses, nazis, nepal, riddle, saving the world, swastika, ten commandments, treasure, treasure hunt, whip","Action, Adventure, archaeologist, archeology, ark of the covenant, cairo, egypt, excavation, hat, himalaya, indiana jones, leather jacket, medallion, mediterranean, moses, nazis, nepal, riddle, saving the world, swastika, ten commandments, treasure, treasure hunt, whip"
